Designator,Mid X,Mid Y,Rotation,Layer
C11,137.16,-112.632,0.0,top
C12,141.224,-119.3585,270.0,top
C13,132.6885,-113.7485,90.0,top
C14,134.4665,-113.7485,90.0,top
C15,141.732,-115.68,270.0,top
C16,140.208,-115.68,270.0,top
J11,129.54,-120.904,270.0,top
J31,160.02,-120.65,0.0,top
J310,178.23,-109.69,180.0,bottom
J311,180.975,-88.15,0.0,top
J312,183.515,-109.69,0.0,top
J313,153.924,-73.66,90.0,top
J32,177.25,-88.15,180.0,top
J33,130.81,-84.65,0.0,top
J34,130.81,-92.5,0.0,top
J35,130.81,-100.35,0.0,top
J36,130.81,-108.2,0.0,top
J37,170.18,-73.66,90.0,top
J38,170.18,-77.47,270.0,top
J39,153.924,-77.724,270.0,top
L11,136.7525,-120.3745,180.0,top
Q21,142.8475,-108.004,180.0,top
Q22,142.8475,-104.448,180.0,top
Q23,142.8475,-100.892,180.0,top
R11,141.224,-112.632,0.0,top
R12,137.16,-110.998,0.0,top
R13,144.25,-115.68,270.0,top
R14,143.5,-120.5,270.0,top
R21,139.0375,-107.496,0.0,top
R22,139.0375,-109.02,0.0,top
R23,139.0375,-104.448,0.0,top
R24,139.0375,-99.876,0.0,top
R25,139.0375,-101.4,0.0,top
R26,139.0375,-105.972,0.0,top
U11,137.247,-115.692,180.0,top
U21,142.575,-93.0,0.0,top
U22,150.1,-111.275,270.0,top
U31,159.9,-94.0,0.0,top
U32,142.55,-84.6,0.0,top
U33,158.5,-111.25,270.0,top
